# frequency inc Ftot Ftot_unpol nuLnu nuLnu_unpol
3162280000.0 90.0 0.0028489597534122634 0.0028339632545509746 7.425982004760713e+29 7.386892744006865e+29
5360020000.0 90.0 0.009395550853617164 0.009367009171960488 4.151030407630589e+30 4.1384204616798237e+30
9085180000.0 90.0 0.028418941300760378 0.028332481384368453 2.1281816205062987e+31 2.1217069808274846e+31
15399300000.0 90.0 0.08140362809629215 0.08123329920348317 1.0332656651010776e+32 1.031103660767487e+32
26101600000.0 90.0 0.21372986326771087 0.21402505951085055 4.598324278322123e+32 4.604675323660127e+32
44241900000.0 90.0 0.4985393092576503 0.5065783945320218 1.8180274423784825e+33 1.847343641460539e+33
74989400000.0 90.0 0.9693335017865592 1.0290719972737428 5.991566152976433e+33 6.360816928825053e+33
127106000000.0 90.0 1.6967308037169337 1.8540498052723284 1.7776499837967799e+34 1.9424717221380902e+34
215443000000.0 90.0 2.68266378175895 2.9538299046403664 4.763935697999135e+34 5.245478700766253e+34
365174000000.0 90.0 3.630064157190802 3.9575557567899375 1.0926508462497957e+35 1.1912259562055964e+35
618966000000.0 90.0 4.005393607427599 4.317732383232477 2.0435216873310643e+35 2.2028745811310884e+35
1049140000000.0 90.0 3.652873635371252 3.8143217620662804 3.1588961702383436e+35 3.2985116948956176e+35
1778280000000.0 90.0 2.7902571969940904 2.836653376710832 4.089890099296295e+35 4.1578964738602944e+35
3014160000000.0 90.0 1.8512294055885699 1.8591252216322147 4.599321826236051e+35 4.618938735386181e+35
5108970000000.0 90.0 1.0907044421523815 1.0908125562614366 4.59311893684354e+35 4.5935742214673565e+35
8659640000000.0 90.0 0.5688984618077184 0.5682829874773504 4.060708872262758e+35 4.056315712073796e+35
14678000000000.0 90.0 0.2578378716313442 0.2574897956591044 3.1194702483664345e+35 3.1152590258927796e+35
24879000000000.0 90.0 0.09878668347435732 0.09865108125223593 2.025809401996887e+35 2.0230286197411848e+35
42169700000000.0 90.0 0.030913145659099684 0.030871757735873903 1.0745112544752e+35 1.073072650012365e+35
71477100000000.0 90.0 0.00757933021077172 0.007569505157504826 4.46544772187297e+34 4.459659181130204e+34
121153000000000.0 90.0 0.0013850575286171222 0.001383317986259005 1.383149875354638e+34 1.3814127288852014e+34
205353000000000.0 90.0 0.0001776853512653615 0.00017747000043365232 3.0075990158462426e+33 3.003953870397292e+33
348070000000000.0 90.0 1.4892572562068718e-05 1.4879595743278076e-05 4.272711554195851e+32 4.268988476577636e+32
589975000000000.0 90.0 7.415244637549087e-07 7.485854340162352e-07 3.606005206585084e+31 3.640342435861315e+31
1000000000000000.0 90.0 2.503494934729222e-08 2.041599732909495e-08 2.0635451426734356e+30 1.682820745385068e+30
223005000000.0 5.0 1.864400335340764 1.9744099453676192 3.427054648904674e+34 3.629269236791356e+34
223005000000.0 10.0 1.8943145448547998 2.013637196869679 3.4820415682052686e+34 3.701374960050258e+34
223005000000.0 15.0 1.9455349442371501 2.0784656687799745 3.5761925423789325e+34 3.8205396650925143e+34
223005000000.0 20.0 2.014025566421305 2.165533923411518 3.7020888430356695e+34 3.9805845123020645e+34
223005000000.0 25.0 2.0974178031963695 2.272477364946569 3.855376603880396e+34 4.177163010779739e+34
223005000000.0 30.0 2.1902815688664155 2.392769883648396 4.0260744920011666e+34 4.3982791668064985e+34
223005000000.0 35.0 2.289418662137776 2.523222627282035 4.20830372138629e+34 4.638071379378869e+34
223005000000.0 40.0 2.387144877008537 2.6542360547782704 4.387939539211589e+34 4.878894215150267e+34
223005000000.0 45.0 2.4793324106438557 2.780585799872368 4.557394408816205e+34 5.111144485172615e+34
223005000000.0 50.0 2.557780782466688 2.8923270458402857 4.701594585279541e+34 5.316542086326103e+34
223005000000.0 55.0 2.6177323156761805 2.9818046832488863 4.81179472668694e+34 5.481015749756392e+34
223005000000.0 60.0 2.6534246703175217 3.0402553586023138 4.87740276568228e+34 5.588457083521743e+34
223005000000.0 65.0 2.664715265817202 3.0667273264240706 4.898156617235848e+34 5.637116633013094e+34
223005000000.0 70.0 2.6523728644264866 3.055358743885895 4.8754693846372925e+34 5.616219429284695e+34
223005000000.0 75.0 2.6304077917851245 3.021039735088821 4.835094201860172e+34 5.553135811236366e+34
223005000000.0 80.0 2.641159256586151 2.9925459371937095 4.854857048245929e+34 5.500759827017536e+34
223005000000.0 85.0 2.701407659466602 3.0067494180801506 4.9656028817810815e+34 5.52686801005088e+34
223005000000.0 90.0 2.7548546280928115 3.0283057950703323 5.063846632776135e+34 5.566491947344498e+34
